"ChangeId","DateTime","SourceIdentityId","SourceIdentityName","ModifiedPropertyDisplayName","ModifiedPropertyOldValue","ModifiedPropertyNewValue"
"45ab4211-59c5-47c2-b3cb-4b4d8ac178bd","2026-05-24T23:42:45Z","c897ae1b-09b0-4a6e-a57f-3d465cd68b96","aide bonavita","active","","False"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","members","a1cbc5c0-d061-70a9-74e3-c76b1d484e89",""
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:59Z","1abe4a2e-d32b-4432-bab8-4d039714f1a5","GRP-AWS-DevOps","members","","a1cbc5c0-d061-70a9-74e3-c76b1d484e89"
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","members","a1cbc5c0-d061-70a9-74e3-c76b1d484e89",""
"9c78b69e-a2c3-4408-b691-0816e9d46e00","2026-05-24T23:02:58Z","1abe4a2e-d32b-4432-bab8-4d039714f1a5","GRP-AWS-DevOps","members","","a1cbc5c0-d061-70a9-74e3-c76b1d484e89"
"8fc35469-2028-4e0a-bd8d-082862b85e23","2026-05-24T22:22:42Z","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","members","","a1cbc5c0-d061-70a9-74e3-c76b1d484e89"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:30Z","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","members","","a1cbc5c0-d061-70a9-74e3-c76b1d484e89"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","c897ae1b-09b0-4a6e-a57f-3d465cd68b96","aide bonavita","active","","True"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","c897ae1b-09b0-4a6e-a57f-3d465cd68b96","aide bonavita","displayName","","aide bonavita"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","c897ae1b-09b0-4a6e-a57f-3d465cd68b96","aide bonavita","title","","Director of IT"
"166daa2a-c658-47a5-9069-638dd34e6551","2026-05-24T22:18:29Z","c897ae1b-09b0-4a6e-a57f-3d465cd68b96","aide bonavita","emails[type eq ""work""].value","","abonavita@IDSentinelSolutions.com"
